City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
131,Abnub,EG,84.79,scattered clouds,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
132,Sabang,ID,83.73,overcast clouds,5.8933,95.3214,Hotel Citra
133,Alta Floresta,BR,73.29,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
134,Meulaboh,ID,77.32,broken clouds,4.1363,96.1285,Kost Pria
135,Bubaque,GW,76.95,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
138,Sambava,MG,75.18,broken clouds,-14.2667,50.1667,Melrose
141,Carutapera,BR,76.77,heavy intensity rain,-1.195,-46.02,Lidera
142,Takoradi,GH,79.7,light rain,4.8845,-1.7554,Raybow International Hotel
143,Doha,QA,76.98,clear sky,25.2867,51.5333,Movenpick Hotel Doha
146,Barra,BR,78.33,overcast clouds,-11.0894,-43.1417,Motel Albatroz
147,Villa Bruzual,VE,77.31,overcast clouds,9.3328,-69.1208,hotel italia
153,Pedreiras,BR,74.39,overcast clouds,-4.5688,-44.6003,Hotel Princesa do Mearim
163,Mecca,SA,84.49,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
