City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
366,Necochea,AR,-38.5473,-58.7368,46.4,59,41,6.02,scattered clouds
367,Pozo Colorado,PY,-23.4923,-58.7972,67.01,92,97,7.27,overcast clouds
368,Harper,LR,4.375,-7.7169,80.55,83,30,6.98,scattered clouds
369,Kavaratti,IN,10.5669,72.642,85.73,77,100,13.24,moderate rain
370,Tamandare,BR,-8.7597,-35.1047,77.32,81,100,7.56,overcast clouds
371,Pietermaritzburg,ZA,-29.6168,30.3928,61.68,96,68,1.97,light rain
372,Epe,NG,6.5841,3.9834,78.28,87,78,3.04,broken clouds
373,Pogradec,AL,40.9025,20.6525,53.19,85,99,5.03,overcast clouds
374,Kaputa,ZM,-8.4689,29.6619,67.37,84,97,1.57,overcast clouds
375,Lucea,JM,18.451,-78.1736,80.46,76,50,12.84,scattered clouds
376,Salisbury,GB,51.0693,-1.7957,40.69,86,55,5.75,broken clouds
377,Matara,LK,5.9485,80.5353,80.65,86,100,8.05,overcast clouds
378,Kongoussi,BF,13.3258,-1.5347,88.59,22,90,6.93,overcast clouds
379,Kostomuksha,RU,64.571,30.5767,22.05,85,43,7.27,scattered clouds
380,Marzuq,YE,14.4,46.4667,72.18,61,17,0.94,light rain
381,Havre-Saint-Pierre,CA,50.2334,-63.5986,35.6,93,100,16.11,overcast clouds
382,Joshimath,IN,30.5667,79.5667,57.63,50,22,7.87,few clouds
383,Akdepe,TM,42.0551,59.3788,66.29,22,43,8.3,scattered clouds
384,Nicoya,CR,10.1483,-85.452,82.26,70,100,1.28,overcast clouds
385,Ochakiv,UA,46.6128,31.5498,49.8,89,100,13.29,overcast clouds
386,High Point,US,35.9557,-80.0053,65.66,64,75,6.91,broken clouds
387,Havoysund,NO,70.9963,24.6622,28.63,64,100,24.47,light snow
388,Marawi,PH,7.9986,124.2928,74.68,84,75,3.0,broken clouds
389,Fomboni,KM,-12.28,43.7425,81.5,74,87,14.88,light rain
390,Muli,MV,2.9167,73.5667,85.44,71,100,13.29,overcast clouds
391,Chimbote,PE,-9.0853,-78.5783,66.15,86,62,5.53,broken clouds
392,Dutlwe,BW,-23.9833,23.9,62.82,70,70,6.71,broken clouds
393,Ratnagiri,IN,16.9833,73.3,81.34,81,2,2.21,clear sky
394,Dowa,MW,-13.654,33.9375,54.21,95,57,2.84,broken clouds
395,Tocopilla,CL,-22.092,-70.1979,65.37,73,91,7.54,overcast clouds
396,Qaqortoq,GL,60.7167,-46.0333,37.38,88,95,1.68,overcast clouds
397,Velsk,RU,61.0701,42.0983,31.5,88,100,6.35,overcast clouds
398,Olean,US,42.0776,-78.4297,56.08,36,0,8.05,clear sky
399,Kantabanji,IN,20.4833,82.9167,83.41,24,50,5.44,scattered clouds
400,Itanhem,BR,-17.1664,-40.33,68.95,91,24,2.89,few clouds
401,Maneromango,TZ,-7.1988,38.7848,66.67,82,27,3.76,scattered clouds
402,Buenos Aires,AR,-34.6132,-58.3772,53.94,52,0,3.44,clear sky
403,Severodvinsk,RU,64.5635,39.8302,24.91,79,28,9.15,scattered clouds
404,Sume,BR,-7.6717,-36.88,71.73,82,99,7.9,overcast clouds
405,Shambu,ET,9.5667,37.1,56.16,47,56,0.81,broken clouds
406,Vitre,FR,48.1178,-1.2058,47.28,87,100,9.17,overcast clouds
407,Rabak,SD,13.1809,32.74,89.38,14,2,6.42,clear sky
408,Galle,LK,6.0367,80.217,82.0,81,100,8.77,overcast clouds
409,Fort-Shevchenko,KZ,44.5086,50.263,60.66,75,55,3.56,broken clouds
410,Dno,RU,57.8277,29.9637,29.46,62,67,3.96,broken clouds
411,Coquimbo,CL,-29.9533,-71.3436,56.93,88,100,4.61,overcast clouds
412,Sabha,LY,27.0377,14.4283,74.95,22,0,15.57,clear sky
413,Antalaha,MG,-14.9003,50.2788,73.69,86,83,7.78,broken clouds
414,Adamovka,RU,51.5223,59.9396,50.0,79,76,7.61,broken clouds
415,Murgab,TM,37.4966,61.9714,67.87,52,14,6.91,few clouds
416,Macusani,PE,-14.0833,-70.4333,34.92,89,58,4.12,broken clouds
417,Sape,BR,-7.0964,-35.2328,74.57,91,100,5.7,overcast clouds
418,Mogadishu,SO,2.0371,45.3438,81.81,79,51,8.59,light rain
